frame_number,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
22,3.0,[327.75526822656343 755.3369281410054 692.7272128538832 1077.6312808451248],[434.5615539550781 964.4269409179688 579.303466796875 1023.2993774414062],0.5097171664237976,NA13NRU,0.7143365491002824
22,6.0,[593.1057590245514 535.9048006107641 864.986349404634 752.6340975637117],[684.674072265625 659.0830078125 773.6195678710938 697.0850219726562],0.3286937475204468,GX15OGJ,0.3876900469625089
23,3.0,[326.0646375739002 757.9283452753747 691.7498127590609 1077.8900566890813],[453.67510986328125 970.6681518554688 572.1262817382812 1023.0582885742188],0.4823072552680969,NA13NRU,0.3315453087802534
24,3.0,[325.04767955953355 760.0889833376675 691.1863404999658 1077.7405472886476],[439.1334533691406 980.064697265625 573.9141845703125 1031.1199951171875],0.5591168403625488,NA13NRU,0.655791322095522
24,6.0,[591.9665912866897 539.3330236656349 864.6148338143173 757.8098732114489],[685.6286010742188 670.2998657226562 761.14990234375 708.48779296875],0.4865465760231018,GX15OGJ,0.316302255632723
25,5.0,[1102.1271391723803 633.0730485651442 1428.6772208754974 949.4909810637479],[1217.490234375 847.7510375976562 1313.1318359375 893.8800659179688],0.5804317593574524,CI51VSU,0.15303424182951877
25,3.0,[324.04718946897094 762.9236938173442 690.4263971616533 1078.1022663204117],[443.1420593261719 980.9161987304688 566.0282592773438 1033.166748046875],0.5414882898330688,NA13NRU,0.7647537949892063
25,6.0,[590.3675720327657 540.4239513245982 863.5535287405365 759.25779579811],[686.0538940429688 668.9480590820312 765.9155883789062 709.0877075195312],0.4601341485977173,GX15OGJ,0.20646186127298558
26,6.0,[589.2094903934852 541.9672342188212 862.8877655866828 761.5247546049638],[696.9402465820312 671.6409912109375 767.9061889648438 711.9593505859375],0.3654920756816864,GX15OGJ,0.09523881761814071
27,3.0,[321.1052501195069 770.3168848403559 690.7717480141785 1078.494869332841],[444.38031005859375 991.8746337890625 565.1878051757812 1047.5782470703125],0.5181702971458435,NA13NRU,0.4769194013943825
28,3.0,[320.0720450845536 773.4356869582136 690.0347274857202 1078.3998114684832],[439.59722900390625 993.4692993164062 555.7531127929688 1048.79052734375],0.49525779485702515,NA13NRU,0.5971005405289578
29,5.0,[1104.0439049120794 639.8925678346171 1432.3497234444974 964.3553805733737],[1222.80078125 859.7250366210938 1314.5333251953125 907.20703125],0.6017276644706726,WJ51VSU,0.33917494337393983
29,3.0,[317.5443682059238 777.3774531431294 687.6582128541755 1078.5880245267545],[434.1916198730469 1002.1744995117188 550.119140625 1052.8385009765625],0.5899306535720825,NA13NRU,0.3806085873819458
29,6.0,[585.0950730397576 547.8104924407489 860.1360833711417 770.9741556549052],[676.6801147460938 677.9556884765625 759.2230224609375 717.0830078125],0.46243348717689514,GX15OGJ,0.24654763375931035
30,5.0,[1104.023851808924 643.4667774615594 1432.619575543844 969.4694109260403],[1221.997314453125 863.3607788085938 1317.2197265625 911.5720825195312],0.6100600361824036,WI51VSU,0.21671822656621462
31,6.0,[582.8378819470972 550.8722350621402 859.52536331695 776.2820464168443],[681.7247924804688 682.58056640625 771.5286865234375 725.1128540039062],0.3931068778038025,GX15OCJ,0.20592945852485983
